Participant,Trial,Word,Color,GPT Response,Correct Response,Reaction Time (s),Accuracy,Feedback,Feedback Response,Ping Time (ms)
1,1,XXXX,"(0, 0, 255)",m,b,9.5367431640625e-07,0,Incorrect. The correct response is 'b',Thank you for your feedback!,66.65682792663574
1,2,BLUE,"(255, 0, 0)",m,m,2.6226043701171875e-06,1,Correct!,Thank you for your feedback!,65.19699096679688
1,3,BLUE,"(0, 0, 255)",m,b,2.86102294921875e-06,0,Incorrect. The correct response is 'b',Thank you for your feedback!,65.6428337097168
1,4,XXXX,"(0, 0, 255)",m,b,9.059906005859375e-06,0,Incorrect. The correct response is 'b',Thank you for your feedback!,71.6860294342041
1,5,XXXX,"(0, 0, 255)",m,b,1.2159347534179688e-05,0,Incorrect. The correct response is 'b',Thank you for your feedback!,71.73395156860352
1,6,BLUE,"(255, 0, 0)",b,m,1.5020370483398438e-05,0,Incorrect. The correct response is 'm',Thank you for your feedback!,71.50483131408691
1,7,XXXX,"(255, 0, 0)",m,m,1.430511474609375e-05,1,Correct!,Thank you for your feedback!,64.96405601501465
1,8,RED,"(255, 0, 0)",b,m,1.52587890625e-05,0,Incorrect. The correct response is 'm',Thank you for your feedback!,67.40403175354004
1,9,BLUE,"(255, 0, 0)",m,m,1.0967254638671875e-05,1,Correct!,Thank you for your feedback!,65.40799140930176
1,10,RED,"(255, 0, 0)",b,m,1.6927719116210938e-05,0,Incorrect. The correct response is 'm',Thank you for your feedback!,64.83292579650879
1,11,RED,"(0, 0, 255)",b,b,1.3828277587890625e-05,1,,,66.31088256835938
1,12,BLUE,"(0, 0, 255)",b,b,1.3828277587890625e-05,1,,,65.60015678405762
1,13,RED,"(0, 0, 255)",b,b,5.9604644775390625e-06,1,,,66.24889373779297
1,14,XXXX,"(255, 0, 0)",m,m,9.775161743164062e-06,1,,,66.22314453125
1,15,BLUE,"(0, 0, 255)",m,b,1.3113021850585938e-05,0,,,66.22886657714844
1,16,RED,"(255, 0, 0)",b,m,1.5974044799804688e-05,0,,,72.40796089172363
1,17,BLUE,"(0, 0, 255)",m,b,1.5020370483398438e-05,0,,,64.76330757141113
1,18,RED,"(0, 0, 255)",b,b,1.5974044799804688e-05,1,,,72.06511497497559
1,19,XXXX,"(255, 0, 0)",b,m,1.1920928955078125e-05,0,,,66.45989418029785
1,20,XXXX,"(255, 0, 0)",m,m,6.9141387939453125e-06,1,,,72.69620895385742
1,21,BLUE,"(0, 0, 255)",m,b,1.2159347534179688e-05,0,,,66.24317169189453
1,22,RED,"(255, 0, 0)",m,m,1.4781951904296875e-05,1,,,71.92206382751465
1,23,XXXX,"(255, 0, 0)",m,m,1.5020370483398438e-05,1,,,74.10597801208496
1,24,XXXX,"(255, 0, 0)",m,m,3.409385681152344e-05,1,,,72.29971885681152
1,25,BLUE,"(255, 0, 0)",b,m,1.6927719116210938e-05,0,,,71.02108001708984
1,26,BLUE,"(255, 0, 0)",b,m,1.5020370483398438e-05,0,,,71.45500183105469
1,27,XXXX,"(0, 0, 255)",b,b,1.5020370483398438e-05,1,,,75.13999938964844
1,28,RED,"(255, 0, 0)",m,m,1.5020370483398438e-05,1,,,65.26517868041992
1,29,XXXX,"(255, 0, 0)",m,m,1.4781951904296875e-05,1,,,67.08478927612305
1,30,XXXX,"(255, 0, 0)",b,m,1.0013580322265625e-05,0,,,65.14215469360352
1,31,RED,"(0, 0, 255)",m,b,1.0967254638671875e-05,0,,,71.95591926574707
1,32,XXXX,"(255, 0, 0)",m,m,1.4781951904296875e-05,1,,,72.57819175720215
1,33,RED,"(255, 0, 0)",b,m,1.52587890625e-05,0,,,72.7081298828125
1,34,BLUE,"(0, 0, 255)",m,b,1.52587890625e-05,0,,,72.36623764038086
1,35,XXXX,"(255, 0, 0)",m,m,1.5020370483398438e-05,1,,,65.2318000793457
1,36,BLUE,"(0, 0, 255)",m,b,1.5020370483398438e-05,0,,,65.85812568664551
1,37,RED,"(255, 0, 0)",m,m,2.7179718017578125e-05,1,,,74.40495491027832
1,38,BLUE,"(0, 0, 255)",m,b,1.4066696166992188e-05,0,,,72.90315628051758
1,39,XXXX,"(255, 0, 0)",m,m,1.6927719116210938e-05,1,,,73.39906692504883
1,40,RED,"(0, 0, 255)",b,b,1.1920928955078125e-05,1,,,65.73200225830078
1,41,BLUE,"(0, 0, 255)",b,b,1.5974044799804688e-05,1,,,65.1559829711914
1,42,RED,"(0, 0, 255)",m,b,1.0967254638671875e-05,0,,,67.17729568481445
1,43,RED,"(0, 0, 255)",m,b,1.0967254638671875e-05,0,,,73.9138126373291
1,44,XXXX,"(255, 0, 0)",m,m,1.2874603271484375e-05,1,,,72.84092903137207
1,45,RED,"(0, 0, 255)",b,b,1.5020370483398438e-05,1,,,65.46878814697266
1,46,BLUE,"(255, 0, 0)",m,m,1.5020370483398438e-05,1,,,72.30210304260254
1,47,XXXX,"(255, 0, 0)",m,m,1.52587890625e-05,1,,,71.88773155212402
1,48,XXXX,"(255, 0, 0)",m,m,6.9141387939453125e-06,1,,,72.48497009277344
1,49,RED,"(255, 0, 0)",m,m,1.0967254638671875e-05,1,,,65.98305702209473
1,50,RED,"(255, 0, 0)",b,m,1.52587890625e-05,0,,,66.39790534973145
1,51,XXXX,"(255, 0, 0)",b,m,1.4781951904296875e-05,0,,,71.86579704284668
1,52,BLUE,"(255, 0, 0)",m,m,1.4066696166992188e-05,1,,,67.42405891418457
1,53,BLUE,"(0, 0, 255)",m,b,1.52587890625e-05,0,,,71.40302658081055
1,54,BLUE,"(0, 0, 255)",b,b,1.4066696166992188e-05,1,,,65.40679931640625
1,55,XXXX,"(0, 0, 255)",m,b,5.0067901611328125e-06,0,,,77.72326469421387
1,56,BLUE,"(0, 0, 255)",m,b,1.0967254638671875e-05,0,,,66.31207466125488
1,57,XXXX,"(0, 0, 255)",b,b,1.0013580322265625e-05,1,,,75.75392723083496
1,58,XXXX,"(0, 0, 255)",m,b,1.5020370483398438e-05,0,,,263.2880210876465
1,59,XXXX,"(0, 0, 255)",m,b,1.4781951904296875e-05,0,,,71.28095626831055
1,60,BLUE,"(0, 0, 255)",m,b,1.5974044799804688e-05,0,,,263.1232738494873
1,61,XXXX,"(0, 0, 255)",b,b,1.4066696166992188e-05,1,,,72.30329513549805
1,62,RED,"(255, 0, 0)",m,m,1.4066696166992188e-05,1,,,65.50788879394531
1,63,RED,"(0, 0, 255)",b,b,1.1205673217773438e-05,1,,,65.80615043640137
1,64,BLUE,"(255, 0, 0)",m,m,1.52587890625e-05,1,,,65.86599349975586
1,65,BLUE,"(0, 0, 255)",b,b,1.4066696166992188e-05,1,,,71.83098793029785
1,66,RED,"(255, 0, 0)",b,m,1.6927719116210938e-05,0,,,75.36196708679199
1,67,XXXX,"(0, 0, 255)",b,b,1.5974044799804688e-05,1,,,65.2930736541748
1,68,BLUE,"(0, 0, 255)",b,b,1.5735626220703125e-05,1,,,72.84998893737793
