Participant,Trial,Word,Color,GPT Response,Correct Response,Reaction Time (s),Accuracy
2,1,BLUE,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,2,XXXX,"(0, 0, 255)",b,b,7.152557373046875e-07,1
2,3,BLUE,"(0, 0, 255)",m,b,7.152557373046875e-07,0
2,4,BLUE,"(255, 0, 0)",b,m,0.0,0
2,5,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,6,RED,"(0, 0, 255)",m,b,1.1920928955078125e-06,0
2,7,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,8,XXXX,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,9,XXXX,"(255, 0, 0)",b,m,0.0,0
2,10,XXXX,"(255, 0, 0)",m,m,1.1920928955078125e-06,1
2,11,BLUE,"(255, 0, 0)",b,m,1.1920928955078125e-06,0
2,12,BLUE,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,13,XXXX,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,14,BLUE,"(255, 0, 0)",m,m,0.0,1
2,15,RED,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,16,XXXX,"(0, 0, 255)",m,b,0.0,0
2,17,RED,"(255, 0, 0)",m,m,0.0,1
2,18,RED,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,19,RED,"(255, 0, 0)",b,m,0.0,0
2,20,BLUE,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,21,RED,"(0, 0, 255)",b,b,0.0,1
2,22,RED,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,23,XXXX,"(0, 0, 255)",m,b,0.0,0
2,24,XXXX,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,25,BLUE,"(0, 0, 255)",b,b,0.0,1
2,26,XXXX,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,27,RED,"(0, 0, 255)",m,b,0.0,0
2,28,RED,"(255, 0, 0)",m,m,0.0,1
2,29,RED,"(0, 0, 255)",m,b,0.0,0
2,30,BLUE,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,31,BLUE,"(255, 0, 0)",b,m,1.1920928955078125e-06,0
2,32,XXXX,"(0, 0, 255)",m,b,0.0,0
2,33,RED,"(255, 0, 0)",b,m,0.0,0
2,34,RED,"(255, 0, 0)",m,m,0.0,1
2,35,BLUE,"(255, 0, 0)",m,m,0.0,1
2,36,RED,"(255, 0, 0)",m,m,0.0,1
2,37,XXXX,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,38,RED,"(255, 0, 0)",m,m,0.0,1
2,39,RED,"(255, 0, 0)",m,m,0.0,1
2,40,XXXX,"(0, 0, 255)",m,b,0.0,0
2,41,BLUE,"(0, 0, 255)",m,b,0.0,0
2,42,XXXX,"(255, 0, 0)",m,m,1.1920928955078125e-06,1
2,43,BLUE,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,44,RED,"(255, 0, 0)",b,m,1.1920928955078125e-06,0
2,45,XXXX,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,46,RED,"(255, 0, 0)",m,m,0.0,1
2,47,RED,"(0, 0, 255)",b,b,0.0,1
2,48,RED,"(0, 0, 255)",b,b,0.0,1
2,49,XXXX,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,50,XXXX,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,51,RED,"(0, 0, 255)",b,b,0.0,1
2,52,XXXX,"(255, 0, 0)",b,m,1.1920928955078125e-06,0
2,53,XXXX,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,54,XXXX,"(0, 0, 255)",m,b,0.0,0
2,55,XXXX,"(0, 0, 255)",b,b,0.0,1
2,56,XXXX,"(255, 0, 0)",m,m,0.0,1
2,57,XXXX,"(0, 0, 255)",m,b,0.0,0
2,58,BLUE,"(255, 0, 0)",m,m,1.1920928955078125e-06,1
2,59,XXXX,"(0, 0, 255)",b,b,0.0,1
